,xorg-server,"the graphical server."
,xorg-setxkbmap,"Allows the setting of your keyboard using the X Keyboard Extension."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,xorg-xinit,"starts the graphical server upon running the startx command."
,xorg-xrandr,"a CLI for changing screen resolution ."
,xorg-xev,"Useful for determining keycodes in the event of remapping keys."
,xorg-xbacklight,"enables changing screen brightness levels."
,xorg-xsetroot,"A utility to change appearance of your root window, used for DWM status bar."
,xorg-xprop,"a tool for detecting window properties."
,exo,"Application library for Xfce"
,garcon,"Implementation of the freedesktop.org menu specification"
,thunar,"Modern file manager for Xfce"
,thunar-volman,"Automatic management of removeable devices in Thunar"
,tumbler,"D-Bus service for applications to request thumbnails"
,xfce4-appfinder,"An application finder for Xfce"
,xfce4-panel,"Panel for the Xfce desktop environment"
,xfce4-power-manager,"Power manager for the Xfce desktop"
,xfce4-session,"Session manager for Xfce"
,xfce4-settings,"Settings manager of the Xfce desktop"
,xfce4-terminal,"A modern terminal emulator primarily for the Xfce desktop environment"
,xfconf,"Flexible, easy-to-use configuration management system"
,xfdesktop,"A desktop manager for Xfce"
,xfwm4,"Xfce's window manager"
,xfwm4-themes,"A set of additional themes for the Xfce window manager"
